epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
107,465.51,0.34113,4.00773,0.21472,0.3228,1.06322,0.99836,1,0.995,0.93039,0.99836,1,0.995,0.41778,0.4642,2.39674,0.29505,0.39326,0.82942,0.00044165,0.00044165,0.00044165
108,469.4,0.32341,3.83682,0.19866,0.32696,1.07052,0.99852,1,0.995,0.92397,0.96911,0.97059,0.97141,0.46615,0.4869,2.07602,0.29535,0.42077,0.84727,0.000418893,0.000418893,0.000418893
109,473.585,0.32763,4.04616,0.19945,0.33008,1.08342,0.99851,1,0.995,0.92759,0.96914,0.97059,0.96715,0.4809,0.50354,1.93799,0.29384,0.42654,0.83916,0.000396689,0.000396689,0.000396689
110,477.777,0.33743,3.87503,0.20963,0.33218,1.11341,0.99851,1,0.995,0.92495,0.93974,0.94118,0.94349,0.44385,0.46839,2.01461,0.29983,0.39507,0.82306,0.000375048,0.000375048,0.000375048
111,481.783,0.31823,3.52034,0.20856,0.3282,1.06071,0.99845,1,0.995,0.92621,0.96908,0.97059,0.96941,0.45321,0.45588,2.07547,0.31023,0.3954,0.83126,0.00035398,0.00035398,0.00035398
112,485.752,0.34739,3.81545,0.20872,0.34251,1.07918,0.99836,1,0.995,0.92291,0.99836,1,0.995,0.42593,0.45622,2.29842,0.31017,0.38125,0.84335,0.000333498,0.000333498,0.000333498
113,489.76,0.33658,3.68239,0.21302,0.32514,1.08209,0.99834,1,0.995,0.91687,0.99834,1,0.995,0.47632,0.46282,2.10532,0.30834,0.38775,0.83883,0.00031361,0.00031361,0.00031361
114,494.223,0.31638,3.53799,0.21055,0.32731,1.06577,0.99829,1,0.995,0.91047,0.99829,1,0.995,0.49312,0.47388,1.90491,0.29602,0.41101,0.83969,0.000294327,0.000294327,0.000294327
115,498.246,0.3294,3.60534,0.21134,0.34715,1.0766,0.9983,1,0.995,0.92721,0.9983,1,0.995,0.45264,0.45296,2.24802,0.29067,0.40248,0.82071,0.000275659,0.000275659,0.000275659
116,502.343,0.32501,3.8487,0.21799,0.33924,1.0632,0.99836,1,0.995,0.92491,0.99836,1,0.995,0.47882,0.47131,2.04417,0.29146,0.41034,0.83143,0.000257615,0.000257615,0.000257615
117,506.528,0.33831,3.72559,0.20617,0.3434,1.07734,0.99838,1,0.995,0.92001,0.99838,1,0.995,0.50636,0.47706,1.97567,0.28681,0.41207,0.82521,0.000240204,0.000240204,0.000240204
118,510.875,0.31574,3.29637,0.20837,0.31819,1.08393,0.99836,1,0.995,0.92832,0.99836,1,0.995,0.52951,0.45629,1.88659,0.28577,0.38669,0.82378,0.000223434,0.000223434,0.000223434
119,515.206,0.32376,3.48087,0.2039,0.32159,1.07911,0.99834,1,0.995,0.91221,0.99834,1,0.995,0.49783,0.45725,1.95143,0.28368,0.38777,0.82567,0.000207316,0.000207316,0.000207316
120,519.198,0.31764,3.80052,0.20445,0.32642,1.06967,0.99832,1,0.995,0.91002,0.99832,1,0.995,0.52392,0.45035,1.95863,0.28151,0.38317,0.82663,0.000191855,0.000191855,0.000191855
