epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
91,650.335,0.46441,0.58127,0.38263,0.9525,0,0.97599,0.95781,0.97636,0.88391,0.97226,0.94712,0.96872,0.86538,0.58753,0.88792,0.45869,0.91128,0,0.000880091,0.000880091,0.000880091
92,656.549,0.46086,0.5812,0.38914,0.93507,0,0.97612,0.96705,0.98107,0.88989,0.9764,0.96106,0.97555,0.87856,0.56121,0.79683,0.4149,0.90062,0,0.000855528,0.000855528,0.000855528
93,662.622,0.45504,0.58194,0.37679,0.94684,0,0.97632,0.96647,0.98145,0.88799,0.97191,0.96025,0.97595,0.87496,0.56289,0.82481,0.41538,0.89777,0,0.000831142,0.000831142,0.000831142
94,669.419,0.45313,0.54881,0.37505,0.93556,0,0.96628,0.97164,0.98046,0.89085,0.95977,0.9648,0.97709,0.88855,0.57319,0.86226,0.42216,0.91371,0,0.000806946,0.000806946,0.000806946
95,676.019,0.43987,0.56655,0.3779,0.93048,0,0.97541,0.96781,0.9811,0.89243,0.97477,0.9666,0.9773,0.87521,0.55472,0.85383,0.4183,0.90017,0,0.000782949,0.000782949,0.000782949
96,682.164,0.46731,0.62163,0.38729,0.9331,0,0.96527,0.96384,0.97527,0.86999,0.97901,0.9425,0.96934,0.87384,0.59897,0.80754,0.43576,0.93374,0,0.000759163,0.000759163,0.000759163
97,688.23,0.45122,0.59833,0.37975,0.92729,0,0.97984,0.96132,0.97952,0.8853,0.96875,0.94201,0.96422,0.87054,0.58834,0.82176,0.42362,0.91599,0,0.000735598,0.000735598,0.000735598
98,694.252,0.44329,0.52966,0.37156,0.92347,0,0.96611,0.97859,0.98089,0.89755,0.9633,0.94542,0.9672,0.87347,0.56709,0.86968,0.42451,0.89975,0,0.000712264,0.000712264,0.000712264
99,700.252,0.44555,0.57092,0.37069,0.93004,0,0.9773,0.95632,0.98179,0.8942,0.96789,0.94706,0.96338,0.88299,0.57389,0.84334,0.40833,0.90052,0,0.000689171,0.000689171,0.000689171
100,706.877,0.4454,0.56632,0.36823,0.93081,0,0.98416,0.96606,0.98279,0.90392,0.96883,0.95078,0.96881,0.88514,0.53921,0.79012,0.38816,0.87874,0,0.00066633,0.00066633,0.00066633
101,713.72,0.4263,0.55273,0.35827,0.92905,0,0.9848,0.96667,0.98006,0.89827,0.9778,0.95853,0.97179,0.88311,0.55202,0.80661,0.39645,0.90555,0,0.00064375,0.00064375,0.00064375
102,720.178,0.42179,0.51134,0.34999,0.91383,0,0.98031,0.96248,0.97889,0.89512,0.97529,0.95407,0.97277,0.88091,0.54436,0.84793,0.4014,0.89711,0,0.000621442,0.000621442,0.000621442
103,726.768,0.42277,0.51825,0.35413,0.92516,0,0.97982,0.9676,0.98122,0.90272,0.97576,0.96196,0.97982,0.88805,0.54294,0.84441,0.40715,0.89399,0,0.000599414,0.000599414,0.000599414
104,733.363,0.42926,0.5243,0.36627,0.91795,0,0.97947,0.96791,0.97884,0.90183,0.97346,0.96004,0.97704,0.89048,0.52996,0.88639,0.40373,0.8821,0,0.000577678,0.000577678,0.000577678
105,739.841,0.41437,0.58366,0.35164,0.92658,0,0.97968,0.955,0.98099,0.89592,0.97968,0.955,0.98294,0.88904,0.53611,0.8922,0.39824,0.88136,0,0.000556242,0.000556242,0.000556242
106,747.122,0.42265,0.54597,0.3576,0.92424,0,0.98513,0.96697,0.98141,0.8977,0.98178,0.96252,0.97818,0.88099,0.52007,0.87624,0.40036,0.87307,0,0.000535116,0.000535116,0.000535116
107,753.668,0.41903,0.58813,0.35547,0.92727,0,0.97992,0.9693,0.98163,0.90479,0.97072,0.96004,0.97439,0.88279,0.53078,0.86589,0.39633,0.87789,0,0.000514309,0.000514309,0.000514309
108,760.345,0.41333,0.54297,0.34616,0.91712,0,0.97853,0.97368,0.98115,0.90414,0.97005,0.96442,0.9758,0.89187,0.52678,0.83435,0.38665,0.87554,0,0.00049383,0.00049383,0.00049383
109,767.178,0.41265,0.5318,0.34679,0.91661,0,0.97596,0.97368,0.98078,0.90072,0.96786,0.96442,0.97576,0.88154,0.52964,0.82706,0.39955,0.88553,0,0.000473688,0.000473688,0.000473688
110,773.627,0.41042,0.52408,0.34439,0.92092,0,0.98111,0.95982,0.98128,0.89708,0.97834,0.94771,0.97651,0.88286,0.54009,0.83105,0.40313,0.89425,0,0.000453892,0.000453892,0.000453892
111,780.483,0.40849,0.51226,0.3413,0.90974,0,0.97923,0.95749,0.98178,0.89754,0.97923,0.95749,0.97702,0.88852,0.53802,0.86696,0.41655,0.9023,0,0.000434451,0.000434451,0.000434451
112,787.699,0.4107,0.56079,0.34532,0.91647,0,0.98061,0.95586,0.97971,0.90379,0.97838,0.95095,0.97387,0.88275,0.54274,0.87215,0.40871,0.89761,0,0.000415373,0.000415373,0.000415373
113,794.297,0.41682,0.5432,0.34443,0.92104,0,0.98256,0.96677,0.98146,0.90071,0.97553,0.95808,0.97558,0.88954,0.52053,0.81357,0.39245,0.89052,0,0.000396667,0.000396667,0.000396667
114,801.545,0.41116,0.49222,0.34019,0.9155,0,0.97472,0.96917,0.98087,0.90184,0.97336,0.95589,0.97504,0.88469,0.5303,0.8066,0.3963,0.88507,0,0.00037834,0.00037834,0.00037834
115,808.489,0.40932,0.53683,0.34715,0.91663,0,0.9787,0.96198,0.97776,0.90213,0.97401,0.95565,0.97259,0.88865,0.52947,0.82473,0.38449,0.89572,0,0.000360401,0.000360401,0.000360401
116,815.495,0.39648,0.51092,0.33649,0.91351,0,0.98318,0.97164,0.98196,0.90496,0.97205,0.95694,0.97567,0.88602,0.51269,0.85127,0.37883,0.88524,0,0.000342858,0.000342858,0.000342858
117,822.705,0.40877,0.53457,0.34191,0.90776,0,0.98106,0.96745,0.98134,0.90097,0.97538,0.96004,0.97544,0.89034,0.53157,0.84827,0.37123,0.88445,0,0.000325719,0.000325719,0.000325719
118,831.696,0.39438,0.49849,0.32531,0.89958,0,0.98382,0.96409,0.98178,0.91099,0.97138,0.96629,0.97596,0.88155,0.51536,0.82783,0.38236,0.87073,0,0.00030899,0.00030899,0.00030899
119,840.083,0.39902,0.53125,0.3366,0.90828,0,0.9824,0.97937,0.98313,0.91432,0.97931,0.97488,0.97811,0.88649,0.50388,0.83698,0.37446,0.86962,0,0.000292679,0.000292679,0.000292679
120,847.327,0.40137,0.51615,0.33321,0.90504,0,0.98114,0.98169,0.98291,0.91084,0.96914,0.96986,0.97725,0.8866,0.50559,0.85077,0.37477,0.8659,0,0.000276794,0.000276794,0.000276794
